Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-20 14-58-23,2021-10-20 12-58-23,1,4.8,0.1,1524.64,732.343,14,1,8,1,1169,2,10.4744,1,1,1,
2021-10-20 14-59-23,2021-10-20 12-59-23,1,1.5,0.1,1528.45,738.942,14,1,8,1,22,2,2.79917,1,1,1,
2021-10-20 15-00-24,2021-10-20 13-00-24,1,1.5,0.3,1532.09,747.615,14,4,8,1,21,3,2.9562,1,1,1,
2021-10-20 15-01-25,2021-10-20 13-01-25,1,1.6,0.1,1539.45,756.677,14,4,8,1,13,3,3.07273,1,1,1,
2021-10-20 15-02-26,2021-10-20 13-02-26,1,2.1,1,2389.37,969.609,18,4,12,1,357,3,3.48099,1,1,1,
2021-10-20 15-03-27,2021-10-20 13-03-27,1,3.1,0.9,2471.29,941.854,19,4,10,1,659,2,3.73554,1,1,1,
2021-10-20 15-04-28,2021-10-20 13-04-28,1,2.6,1,2455.18,946.485,20,4,10,1,146,2,2.8595,1,1,1,
2021-10-20 15-05-29,2021-10-20 13-05-29,1,2.8,1.1,2504.04,1027.07,20,4,12,1,120,2,2.69669,1,1,1,
2021-10-20 15-06-30,2021-10-20 13-06-30,1,2.6,1,2494.89,1024.88,20,4,12,1,31,2,2.54876,1,1,1,
2021-10-20 15-07-31,2021-10-20 13-07-31,1,3.1,1.2,3023.6,1307.01,20,4,16,1,181,2,2.66116,1,1,1,
2021-10-20 15-08-32,2021-10-20 13-08-32,1,3.2,0.3,2890.35,1065.22,20,4,10,1,52,2,3.08926,1,1,1,
2021-10-20 15-09-33,2021-10-20 13-09-33,1,1.7,0.3,2934.47,1074.8,21,4,10,1,21,2,2.71405,1,1,1,
